outlier std,lloydL1ians misc,lloydL1ians misc err_bar,lloydL1ians-L1 misc,lloydL1ians-L1 misc err_bar,kmeans misc,kmeans missc err_bar,lloydL1ians acd,lloydL1ians acd err_bar,lloydL1ians-L1 acd,lloydL1ians-L1 acd err_bar,kmeans acd,kmeans acd err_bar
1.0,0.15099,0.00183050409602601,0.176294,0.0017147929138331777,0.127317,0.0011656815589737703,2.50830478234401,0.04088246335687912,2.2732536914544665,0.037652388234498686,1.0507012063296555,0.015319850852506006
2.0,0.12744049999999998,0.0010725356435825897,0.156216,0.001141860689848845,0.12293600000000002,0.00101032530634508,1.0813836483539208,0.009707105955258255,1.1009125292396222,0.009414906040781903,0.7410456974373487,0.006639997346313136
4.0,0.1267485,0.0010521929166988724,0.15386699999999998,0.0011258801339696512,0.12442550000000001,0.001023100737655838,1.0465808333122992,0.008629218000497799,1.0781811084312867,0.009065240557434044,0.9707310173977843,0.008695738655170208
6.0,0.12698099999999998,0.0010498798642494674,0.15305249999999998,0.0011247662816416572,0.12841349999999999,0.0010891100336502643,1.1177166376338674,0.00900707735214081,1.159361585863616,0.009504468235292642,1.658471650390458,0.03157932643689908
8.0,0.127202,0.001054800071156008,0.15295599999999998,0.0011229652551225616,0.13775,0.0013938818053192315,1.173574530738842,0.009383892039049397,1.224447941464721,0.009724465589190802,3.7314757362331568,0.2064875637683125
10.0,0.127279,0.0010531772010838822,0.1527525,0.0011227455850717025,0.1629495,0.0022639432536068387,1.2092120787958345,0.009598241302476291,1.2717274472249294,0.009850142611751458,13.548773928955582,0.7692630491745366
12.0,0.127408,0.0010551024390738181,0.1527655,0.0011225234203931424,0.21803150000000002,0.0035184720154002188,1.2390732450745414,0.009883967202912358,1.310919302695609,0.010148780928095931,46.26387856657481,1.784156132336017
14.0,0.12746799999999997,0.0010554300539781496,0.152803,0.0011239888912747847,0.307992,0.004729723100033185,1.2601690752282952,0.010134705286861376,1.3412525553827668,0.010272431837790799,125.07287744654263,3.311757378503562
16.0,0.12752750000000002,0.0010540547595632782,0.152899,0.0011275148677900792,0.4148184999999999,0.005325180107959775,1.2746927475379566,0.010075499255360764,1.3643941797531334,0.010465078257699123,256.846275923805,4.893454685137619
18.0,0.12762949999999998,0.0010556886345327017,0.1528765,0.0011276822136183932,0.5241575,0.005206128700412812,1.290669717622582,0.01021803249870539,1.382990719358438,0.01051197916522328,446.99426932628006,6.171229646812593
20.0,0.1277295,0.0010564803918641935,0.152862,0.0011266911148464424,0.6079019999999999,0.004566536771648151,1.301367637084032,0.010273004357842305,1.397600710581585,0.010645286062143489,668.7733294835983,6.994079296173368
